Date,Open,High,Low,Close,Volume,Market Cap
11-05-2021,1.0900538,1.17148565,0.94073151,1.05537349,879313.72,6054202.81
10-05-2021,1.1752181,1.23569462,0.90994746,1.09049536,959524.6,6255681.18
09-05-2021,1.20023785,1.2958601,0.91573723,1.17615519,899344.68,6747073.05
08-05-2021,0.78298429,1.2975538,0.77557621,1.20031313,821801.27,6885656.27
07-05-2021,0.79797774,0.86476852,0.76518614,0.78312787,740502.34,4492452.2
06-05-2021,0.79073092,0.81547893,0.75852348,0.7970314,844236.22,4572210.5
05-05-2021,0.89153959,1.00350916,0.7679197,0.79111839,780884.76,4538290.22
04-05-2021,0.95228944,0.9915431,0.74364397,0.88808556,721177.26,5094547.24
03-05-2021,0.68045356,0.98518969,0.66475041,0.94928514,769781.58,5445621.7
02-05-2021,0.82725826,0.83147456,0.68040701,0.68040701,639454.58,3903188.84
01-05-2021,0.78442192,0.83708648,0.75954961,0.82751431,660732.51,4747077.21
30-04-2021,0.74998434,0.79678474,0.73517587,0.78446268,659296.83,4500109.37
29-04-2021,0.73809612,0.79447485,0.6466727,0.7501814,642240.1,4303453.09
28-04-2021,0.74919062,0.79888298,0.62773125,0.73785231,563157.05,4232726.66
27-04-2021,0.73710279,0.78893788,0.68353444,0.74857266,599567.11,4294224.52
26-04-2021,0.68074292,0.75210956,0.64843244,0.73758812,543127.02,4231211.12
25-04-2021,0.62494979,0.69954482,0.61600608,0.67993122,469578.05,3900459.45
24-04-2021,0.71639347,0.78111925,0.60382846,0.62565552,499249.32,3589104.21
23-04-2021,0.7780224,0.78461222,0.5046534,0.71714506,517970.55,4113938.51
22-04-2021,0.83494686,0.94384296,0.54316984,0.77902744,557617.25,4468929.88
21-04-2021,0.74388341,0.87843694,0.72000157,0.83433155,533459.9,4786184.65
20-04-2021,0.76229147,0.87117352,0.66076866,0.74301001,470822.7,4262314.1
19-04-2021,0.9095589,0.91165605,0.65455713,0.76240397,490246.9,4373568.47
18-04-2021,0.89805724,0.96947397,0.7631853,0.90889982,606523.64,5213949.27
17-04-2021,0.78723379,1.02932367,0.74115817,0.89894807,588022.58,5156860.54
16-04-2021,1.11171933,1.17493422,0.71484578,0.78790609,613866.46,4519862.68
15-04-2021,1.06799807,1.17685962,1.00012318,1.11113102,562869.12,6374058.68
14-04-2021,1.01656026,1.13486145,0.93264255,1.06746313,546577.05,6123555.63
13-04-2021,0.94167276,1.11057731,0.86917985,1.0187597,496808.03,5844165.96
12-04-2021,0.98564968,1.05532585,0.86181507,0.93207342,511598.63,5346885.81
11-04-2021,1.10809297,1.20099115,0.91406997,0.98561471,441706.95,5654028.09
10-04-2021,1.24308035,1.27521537,0.94751139,1.10794659,520795.32,6355791.03
09-04-2021,1.36844732,1.52451497,1.17548644,1.24282602,543486.38,7129533.59
08-04-2021,1.598462,1.60565886,1.15594414,1.36835126,482667.44,7849615.42
07-04-2021,1.6477171,1.79846429,1.45489079,1.60201228,450405.72,9190023.53
06-04-2021,1.19393089,1.80661088,1.193687,1.64833913,637382.75,9455779.85
05-04-2021,1.81403996,2.28020553,1.02157605,1.19277548,1107526.19,6842416.16
04-04-2021,0.99496011,2.14348492,0.84281877,1.81464816,932758.14,10409819.89
03-04-2021,0.53127751,1.00573537,0.53127751,0.99575053,655487.82,5712172.72
02-04-2021,0.3657615,0.57245776,0.35364562,0.53122534,582800.88,3047400.71
01-04-2021,0.3678394,0.38103457,0.34751907,0.36577066,393180.63,2098261.68
31-03-2021,0.357742,0.38349885,0.32247562,0.36786102,419720.95,2110253.17
30-03-2021,0.35412911,0.36249015,0.32015362,0.3577906,446718.01,2052483.68
29-03-2021,0.33621627,0.36020721,0.31460156,0.35414144,409523.87,2031550.05
28-03-2021,0.32972229,0.33802594,0.30897606,0.33626757,316537.6,1929015.76
27-03-2021,0.30541902,0.34368372,0.29502651,0.3298531,378120.45,1892218.82
26-03-2021,0.28128733,0.3054277,0.2811465,0.3054277,413616.83,1752101.3
25-03-2021,0.28705258,0.29001987,0.27584534,0.28135861,350976.15,1614027.77
24-03-2021,0.29805386,0.3100333,0.28277016,0.28715478,356167.02,1647277.73
23-03-2021,0.29764375,0.30860744,0.29030209,0.29823691,371230.81,1710850.98
22-03-2021,0.30651399,0.32379634,0.29051121,0.29766158,406605.45,1707550.54
21-03-2021,0.3104349,0.32463085,0.28525341,0.30651287,363726.49,1758326.44
20-03-2021,0.28494174,0.34253477,0.26360679,0.31060634,393607.43,1781808.79
19-03-2021,0.30056581,0.32434443,0.24909616,0.28492709,383662.06,1634498.49
18-03-2021,0.32162094,0.32977771,0.29621133,0.30060156,421763.05,1724415.89
17-03-2021,0.31193767,0.32671951,0.29674526,0.32143938,419494.65,1843953.1
16-03-2021,0.29992467,0.36229361,0.28636642,0.3119792,411592.69,1789684.28
15-03-2021,0.30892601,0.32001034,0.28939722,0.29993265,424624.82,1720578.62
14-03-2021,0.32932123,0.33935939,0.30912177,0.30912177,402755.62,1773292.51
13-03-2021,0.31657723,0.34045184,0.2938384,0.32931917,435546.73,1889155.87
12-03-2021,0.32896909,0.33192393,0.31003059,0.31678827,346005.29,1817271.77
11-03-2021,0.32387227,0.33251434,0.30973179,0.32892532,337489.55,1886896.55
10-03-2021,0.32934955,0.3372979,0.31496614,0.32383621,389049.39,1857702.64
09-03-2021,0.33830603,0.3451872,0.32079639,0.32927743,397099.1,1888916.45
08-03-2021,0.3047194,0.35846194,0.3047194,0.33837226,390004.06,1941089.39
07-03-2021,0.29125575,0.31547566,0.29032186,0.30469672,374725.64,1747907.97
06-03-2021,0.27688593,0.32746563,0.27653549,0.29156004,393664.2,1672548.77
05-03-2021,0.2634849,0.29565489,0.2515249,0.2768779,353728.7,1588323.92
04-03-2021,0.30634701,0.32021137,0.25762066,0.26347465,347097.25,1511435.5
03-03-2021,0.29814284,0.35486665,0.29510453,0.30641116,352930.47,1757742.93
02-03-2021,0.37019693,0.3888371,0.27205986,0.29813128,311021.56,1710245.03
01-03-2021,0.33664676,0.38523915,0.33236329,0.37021043,360995.49,2123730.67
28-02-2021,0.38488038,0.39708529,0.31753231,0.33663725,272613.34,1931136.43
27-02-2021,0.35073131,0.40339871,0.34580597,0.38492139,353349.61,2208120.83
26-02-2021,0.34302738,0.39354725,0.34073064,0.35073335,283044.29,2011999.42
25-02-2021,0.41783889,0.42713984,0.34095806,0.34328199,343278.86,1969254.33
24-02-2021,0.40147092,0.43408648,0.37669057,0.41765475,1276616.91,2395897.36
