Date,Open,High,Low,Close,Volume,Market Cap
11-05-2021,0.03576126,0.04308289,0.02869956,0.02917871,204328.96,583574.24
10-05-2021,0.04346871,0.04825651,0.00389804,0.03661798,196523.08,732359.59
09-05-2021,0.0441873,0.04445861,0.03299901,0.04348758,140539.47,869751.68
08-05-2021,0.05648251,0.0657162,0.0030649,0.04419816,129731.06,883963.28
07-05-2021,0.0609548,0.06406415,0.05024105,0.05633135,111082.1,1126626.97
06-05-2021,0.02556689,0.06368511,0.02556689,0.06092608,97540.85,1218521.59
05-05-2021,0.0587944,0.0589038,0.0236512,0.02566942,261831.34,513388.31
04-05-2021,0.06124753,0.06434228,0.05162771,0.05856134,143030.27,1171226.76
03-05-2021,0.0544856,0.08287789,0.0544856,0.06126208,188355.24,1225241.62
02-05-2021,0.0391526,0.0587242,0.0335149,0.05418535,139643.96,1083706.96
01-05-2021,0.06734733,0.0805154,0.03884619,0.03915376,172617.98,783075.17
30-04-2021,0.06361265,0.07308029,0.06164268,0.06723552,121626.5,1344710.31
29-04-2021,0.05587727,0.07008809,0.05551818,0.06370321,113209.86,1274064.17
28-04-2021,0.03990593,0.05632135,0.03932287,0.05587977,114593.94,1117595.49
27-04-2021,0.0323443,0.04466668,0.0277346,0.03989693,170594.56,797938.53
26-04-2021,0.06028088,0.06658409,0.03166768,0.03238008,193684.33,647601.57
25-04-2021,0.04831169,0.06203305,0.04663845,0.06016125,125755.72,1203224.94
24-04-2021,0.06275461,0.06460108,0.04211104,0.04827378,112238.98,965475.64
23-04-2021,0.0615723,0.06286243,0.05356822,0.06267831,144858.22,1253566.2
22-04-2021,0.05537192,0.07103718,0.05264507,0.06166932,124724.37,1233386.34
21-04-2021,0.06587586,0.06705437,0.05492527,0.05526681,104163.33,1105336.18
20-04-2021,0.04689123,0.07137796,0.04428013,0.06533615,112063.25,1306723.03
19-04-2021,0.06691284,0.08424158,0.04620872,0.04700094,142389.91,940018.73
18-04-2021,0.0382188,0.07961001,0.03100232,0.0668415,147109.28,1336830.02
17-04-2021,0.05401956,0.0541959,0.03806664,0.03825107,180289.09,765021.31
16-04-2021,0.05880945,0.05908304,0.04134676,0.05412404,202733.33,1082480.77
15-04-2021,0.07894197,0.09200098,0.05314853,0.05872211,162083.18,1174442.18
14-04-2021,0.09229332,0.09928647,0.07524574,0.07862537,154148.74,1572507.39
13-04-2021,0.07095056,0.10859025,0.06781283,0.08997678,142324.34,1799535.55
12-04-2021,0.09658537,0.0983008,0.06724068,0.07114935,139867.21,1422986.96
11-04-2021,0.06823917,0.10334046,0.06185607,0.09724675,196109.8,1944934.99
10-04-2021,0.07284628,0.10499583,0.04976839,0.06838462,206026.17,1367692.35
09-04-2021,0.0527752,0.07327952,0.04475803,0.0724105,132720.36,1448209.91
08-04-2021,0.05595195,0.06744417,0.04844543,0.05273492,154642.33,1054698.36
07-04-2021,0.06630888,0.06630888,0.03878863,0.05606403,157539.08,1121280.61
06-04-2021,0.05538494,0.07457853,0.05015791,0.06632557,145122.08,1326511.31
05-04-2021,0.07315826,0.07589341,0.04707385,0.05529972,228274.8,1105994.42
04-04-2021,0.08894962,0.0993574,0.06652687,0.0731007,199331.53,1462014.07
03-04-2021,0.04533335,0.13030695,0.03273538,0.08952966,372447.95,1790593.16
02-04-2021,0.05666582,0.07034223,0.0401173,0.04533479,245181.8,906695.81
01-04-2021,0.10225024,0.10432607,0.04385845,0.05654382,279280.1,1130876.49
31-03-2021,0.09052655,0.12867684,0.0703411,0.10228107,394638.14,2045621.43
30-03-2021,0.00682161,0.11303294,0.00584558,0.09205032,275491.89,1841006.31
29-03-2021,0.00745247,0.00943332,0.00574696,0.00682145,158687.59,136429.02
28-03-2021,0.00998886,0.01213857,0.00700472,0.00745438,108125.21,149087.55
27-03-2021,0.0217013,0.02668295,0.00670986,0.0099943,161442.97,199885.99
26-03-2021,0.00752128,0.02169905,0.00670265,0.021694,164782.5,433879.97
25-03-2021,0.00971572,0.01047141,0.00682644,0.00752228,107776.4,150445.66
24-03-2021,0.01160396,0.01805425,0.009218,0.00970908,104194.33,194181.58
23-03-2021,0.0142058,0.0158375,0.00943068,0.01160538,111599.36,232107.61
22-03-2021,0.0100056,0.01861343,0.00992355,0.01420157,100913.57,284031.32
21-03-2021,0.01248552,0.01376723,0.00951842,0.01000425,143152.93,200084.98
20-03-2021,0.0091341,0.01358758,0.00895677,0.01248689,117072.83,249737.86
19-03-2021,0.00896489,0.01303905,0.00748664,0.00913229,133897.27,182645.89
18-03-2021,0.03018905,0.04417913,0.00842653,0.00896525,156342.56,179305.05
17-03-2021,0.01115342,0.03060371,0.01005366,0.03017377,214596.66,603475.44
16-03-2021,0.01031642,0.02192895,0.00693985,0.01114965,79040.27,222992.98
15-03-2021,0.01323216,0.02384802,0.00907797,0.01031609,15320.31,206321.74
14-03-2021,0.09094761,0.1055359,0.01024011,0.01324109,22302.11,264821.81
13-03-2021,0.01145754,0.10686251,0.01080134,0.09007034,349831.57,1801406.75
12-03-2021,0.01154817,0.01158685,0.01107401,0.01146287,74889.4,229257.32
11-03-2021,0.01118492,0.0116078,0.01087147,0.01154099,54748.74,230819.88
10-03-2021,0.01097559,0.01142918,0.01066716,0.0111937,77937.77,223874.08
09-03-2021,0.01303858,0.01364979,0.01019176,0.01096725,80162.03,219344.96
08-03-2021,0.01330636,0.01344008,0.00941502,0.01303797,87449.07,260759.48
07-03-2021,0.00977437,0.01334741,0.00901472,0.01330636,79407.69,266127.13
06-03-2021,0.00950992,0.01164874,0.00895304,0.00977437,418.39,195487.43
05-03-2021,0.0083684,0.01215081,0.00822268,0.00951118,617.95,190223.55
04-03-2021,0.01156758,0.01300993,0.00835665,0.00836896,1089.09,167379.29
03-03-2021,0.01106194,0.01417714,0.00935138,0.01156758,81444.34,231351.63
02-03-2021,0.00989427,0.01279897,0.00973019,0.01106097,73943.73,221219.4
01-03-2021,0.01203049,0.0136366,0.00633847,0.00989152,1597.55,197830.48
28-02-2021,0.01232127,0.01235594,0.00637461,0.00639245,26693.68,127849.08
27-02-2021,0.01199898,0.01271466,0.00644737,0.01232632,66142.36,246526.49
26-02-2021,0.01188536,0.01316232,0.0063158,0.01199706,67693.07,239941.13
25-02-2021,0.01453658,0.01585052,0.00634685,0.00634685,21944.04,126937.03
24-02-2021,0.01789578,0.01797777,0.00642796,0.01449933,24764.24,289986.57
23-02-2021,0.01316407,0.01784697,0.00637604,0.00642761,27134.48,128552.28
22-02-2021,0.00959152,0.01437448,0.00651301,0.01316718,27099.31,263343.58
21-02-2021,0.01338418,0.01379359,0.00643233,0.00958476,1785.55,191695.23
20-02-2021,0.00632085,0.01391101,0.00631874,0.01339046,98660.69,267809.26
19-02-2021,0.00653002,0.01362091,0.00631855,0.00632109,16426.64,126421.71
18-02-2021,0.01355724,0.01389435,0.00635573,0.00826429,3946.18,165285.9
17-02-2021,0.00685412,0.01415763,0.00641062,0.01355774,69263.14,271154.74
16-02-2021,0.01202142,0.01347049,0.00631818,0.01141052,77300.95,228210.5
15-02-2021,0.00638067,0.01221552,0.00633057,0.00636976,32374.31,127395.22
14-02-2021,0.01142934,0.01259368,0.0063312,0.01152481,91576.47,230496.12
13-02-2021,0.00796402,0.01144308,0.00633221,0.00633405,27158.66,126680.99
12-02-2021,0.00802098,0.00815107,0.00762921,0.00796739,80211.25,159347.9
11-02-2021,0.00765556,0.00811477,0.00632213,0.00800779,87946.51,160155.79
