Date,Open,High,Low,Close,Volume,Market Cap
11-05-2021,2.371e-05,2.412e-05,1.561e-05,1.669e-05,34.58,4656.78
10-05-2021,2.357e-05,2.518e-05,2.211e-05,2.372e-05,0,6619.02
09-05-2021,2.342e-05,2.389e-05,2.246e-05,2.359e-05,62.73,6582.74
08-05-2021,2.091e-05,2.37e-05,2.072e-05,2.342e-05,0,6533.75
07-05-2021,2.095e-05,2.284e-05,2.022e-05,2.091e-05,0,5834.62
06-05-2021,2.114e-05,2.159e-05,2.032e-05,2.092e-05,0,5835.65
05-05-2021,1.952e-05,2.125e-05,1.928e-05,2.115e-05,0,5900.22
04-05-2021,2.059e-05,2.114e-05,1.908e-05,1.944e-05,0,5424.06
03-05-2021,1.771e-05,2.07e-05,1.771e-05,2.052e-05,0,5724.36
02-05-2021,1.178e-05,1.791e-05,1.144e-05,1.772e-05,13.34,4942.62
01-05-2021,1.109e-05,1.181e-05,1.102e-05,1.179e-05,0,3288.68
30-04-2021,1.103e-05,1.118e-05,1.091e-05,1.109e-05,26.58,3094.98
29-04-2021,1.099e-05,1.119e-05,1.069e-05,1.103e-05,50.2,3077.45
28-04-2021,1.065e-05,1.103e-05,1.026e-05,1.098e-05,0,3063.92
27-04-2021,1.014e-05,1.071e-05,9.94e-06,1.064e-05,0,2969.26
26-04-2021,9.26e-06,1.015e-05,9.23e-06,1.015e-05,0,2830.54
25-04-2021,8.85e-06,9.42e-06,8.69e-06,9.25e-06,0,2581.38
24-04-2021,1.655e-05,1.657e-05,8.71e-06,8.86e-06,53.12,2471.18
23-04-2021,1.682e-05,1.708e-05,1.482e-05,1.656e-05,0,4621.1
22-04-2021,1.655e-05,1.849e-05,1.621e-05,1.685e-05,42.72,4700.45
21-04-2021,1.165e-05,1.727e-05,1.142e-05,1.654e-05,26.51,4614.89
20-04-2021,1.083e-05,1.173e-05,1.03e-05,1.164e-05,0.35,3246.87
19-04-2021,1.119e-05,1.138e-05,1.043e-05,1.083e-05,32.34,3022.47
18-04-2021,1.876e-05,1.892e-05,1.062e-05,1.118e-05,0.17,3118.44
