Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,2e-08,2e-08,2e-08,2e-08,321007.39,0
26-06-2021,2e-08,2e-08,2e-08,2e-08,472942.7,0
25-06-2021,2e-08,2e-08,2e-08,2e-08,654884.67,0
24-06-2021,2e-08,3e-08,2e-08,2e-08,454512.81,0
23-06-2021,2e-08,3e-08,2e-08,2e-08,389906.46,0
22-06-2021,2e-08,3e-08,2e-08,2e-08,366095.18,0
21-06-2021,3e-08,3e-08,2e-08,2e-08,568629.9,0
20-06-2021,2e-08,3e-08,2e-08,3e-08,663249.3,0
19-06-2021,3e-08,3e-08,2e-08,2e-08,376156.09,0
18-06-2021,3e-08,3e-08,3e-08,3e-08,446187.09,0
17-06-2021,3e-08,3e-08,3e-08,3e-08,609013.11,0
16-06-2021,3e-08,4e-08,3e-08,3e-08,896833.44,0
15-06-2021,3e-08,3e-08,3e-08,3e-08,931989.36,0
14-06-2021,3e-08,3e-08,3e-08,3e-08,299737.85,0
13-06-2021,3e-08,3e-08,3e-08,3e-08,277677.04,0
12-06-2021,3e-08,3e-08,3e-08,3e-08,365221.7,0
11-06-2021,3e-08,3e-08,3e-08,3e-08,502887.04,0
10-06-2021,4e-08,4e-08,3e-08,3e-08,800029.59,0
09-06-2021,3e-08,4e-08,3e-08,4e-08,771066.29,0
08-06-2021,3e-08,4e-08,2e-08,3e-08,575415.58,0
07-06-2021,4e-08,5e-08,3e-08,3e-08,754380.36,0
06-06-2021,4e-08,4e-08,4e-08,4e-08,387017.84,0
05-06-2021,5e-08,6e-08,4e-08,4e-08,673009.68,0
04-06-2021,8e-08,8e-08,5e-08,5e-08,2427511.42,0
03-06-2021,4e-08,8e-08,3e-08,8e-08,2872474.44,0
02-06-2021,3e-08,4e-08,2e-08,4e-08,308591.69,0
01-06-2021,3e-08,4e-08,3e-08,3e-08,335098.19,0
31-05-2021,2e-08,3e-08,2e-08,3e-08,231095.07,0
30-05-2021,2e-08,3e-08,2e-08,2e-08,172809.12,0
29-05-2021,3e-08,4e-08,2e-08,2e-08,203627.98,0
28-05-2021,3e-08,3e-08,2e-08,3e-08,296826.87,0
27-05-2021,3e-08,8e-08,3e-08,3e-08,226940.99,0
26-05-2021,3e-08,4e-08,2e-08,3e-08,260973.89,0
25-05-2021,3e-08,3e-08,2e-08,3e-08,243248.8,0
24-05-2021,2e-08,3e-08,2e-08,3e-08,344539.06,0
23-05-2021,3e-08,3e-08,2e-08,2e-08,367671.47,0
22-05-2021,3e-08,4e-08,2e-08,3e-08,196046.57,0
21-05-2021,4e-08,4e-08,2e-08,3e-08,259392.78,0
20-05-2021,4e-08,4e-08,3e-08,4e-08,436700.89,0
19-05-2021,6e-08,6e-08,3e-08,4e-08,902798.57,0
18-05-2021,5e-08,6e-08,4e-08,6e-08,585600.76,0
17-05-2021,6e-08,6e-08,4e-08,5e-08,777538.27,0
16-05-2021,6e-08,7e-08,5e-08,6e-08,890753.45,0
15-05-2021,7e-08,8e-08,4e-08,6e-08,949284.45,0
14-05-2021,8e-08,9e-08,7e-08,7e-08,1177735,0
13-05-2021,1e-07,1e-07,7e-08,8e-08,2179850.89,0
12-05-2021,1.2e-07,1.2e-07,9e-08,1e-07,2902673.77,0
11-05-2021,6e-08,1.3e-07,6e-08,1.2e-07,5191873.25,0
10-05-2021,4e-08,8e-08,4e-08,6e-08,1839413.83,0
09-05-2021,4e-08,6e-08,4e-08,4e-08,1517249.35,0
08-05-2021,3e-08,5e-08,2e-08,4e-08,1650545.13,0
07-05-2021,4e-08,5e-08,2e-08,3e-08,679334.09,0
06-05-2021,5e-08,5e-08,4e-08,4e-08,1078888.55,0
05-05-2021,4e-08,6e-08,4e-08,5e-08,961918.2,0
04-05-2021,1.2e-07,1.5e-07,1e-08,4e-08,1009538.68,0
03-05-2021,1.2e-07,2.1e-07,1.1e-07,1.2e-07,1490831.28,0
02-05-2021,1.1e-07,1.6e-07,1e-07,1.2e-07,1034729.76,0
01-05-2021,1.4e-07,1.7e-07,1e-07,1.1e-07,1595920.63,0
30-04-2021,4e-08,1.9e-07,4e-08,1.4e-07,3255229.17,0
29-04-2021,5e-08,6e-08,3e-08,4e-08,1164551.89,0
28-04-2021,4e-08,5e-08,3e-08,5e-08,2273703.01,0
27-04-2021,3e-08,6e-08,3e-08,4e-08,6059857.01,0
