Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,9e-07,9.4e-07,8.8e-07,9.4e-07,4715476.63,0
26-06-2021,8.8e-07,9.2e-07,8.6e-07,9e-07,6136145.65,0
25-06-2021,1e-06,1.01e-06,8.7e-07,8.8e-07,6663696.47,0
24-06-2021,9.4e-07,1e-06,8.7e-07,1e-06,5783805.28,0
23-06-2021,8e-07,9.7e-07,7.6e-07,9.4e-07,9140092.06,0
22-06-2021,8.9e-07,9.2e-07,7e-07,8e-07,11083623.78,0
21-06-2021,1.26e-06,1.26e-06,8.9e-07,8.9e-07,12178834.98,0
20-06-2021,1.28e-06,1.28e-06,1.16e-06,1.26e-06,7361956.49,0
19-06-2021,1.26e-06,1.38e-06,1.24e-06,1.28e-06,7929503.75,0
18-06-2021,1.4e-06,1.41e-06,1.23e-06,1.26e-06,8589514.07,0
17-06-2021,1.47e-06,1.5e-06,1.36e-06,1.4e-06,6516804.16,0
16-06-2021,1.56e-06,1.6e-06,1.39e-06,1.47e-06,13787797.63,0
15-06-2021,1.41e-06,1.61e-06,1.38e-06,1.42e-06,13840649.32,0
14-06-2021,1.44e-06,1.48e-06,1.4e-06,1.47e-06,21863835.51,0
13-06-2021,1.31e-06,1.46e-06,1.26e-06,1.44e-06,18281230.81,0
12-06-2021,1.36e-06,1.37e-06,1.23e-06,1.31e-06,16322481.29,0
11-06-2021,1.49e-06,1.5e-06,1.35e-06,1.36e-06,14032214.55,0
10-06-2021,1.64e-06,1.66e-06,1.44e-06,1.49e-06,17923089.72,0
09-06-2021,1.63e-06,1.69e-06,1.41e-06,1.64e-06,26609416.56,0
08-06-2021,1.38e-06,1.75e-06,1.15e-06,1.63e-06,38850917.9,0
07-06-2021,1.78e-06,1.86e-06,1.34e-06,1.38e-06,28896789.93,0
06-06-2021,1.86e-06,1.98e-06,1.65e-06,1.78e-06,25449806.5,0
05-06-2021,2.38e-06,2.5e-06,1.85e-06,1.86e-06,36866072.74,0
04-06-2021,2.67e-06,2.69e-06,2.2e-06,2.38e-06,25594705.27,0
03-06-2021,2.57e-06,2.92e-06,2.41e-06,2.68e-06,33419851.45,0
02-06-2021,2.17e-06,2.76e-06,2.11e-06,2.57e-06,37783919.6,0
01-06-2021,2.3e-06,2.32e-06,2.04e-06,2.17e-06,26222898.58,0
31-05-2021,2.04e-06,2.41e-06,1.93e-06,2.3e-06,29973748.06,0
30-05-2021,2.01e-06,2.11e-06,1.85e-06,2.04e-06,22467185.25,0
29-05-2021,2.1e-06,2.19e-06,1.82e-06,2.01e-06,24827943.79,0
28-05-2021,2.44e-06,2.46e-06,2.03e-06,2.1e-06,29149739.7,0
27-05-2021,2.73e-06,2.76e-06,2.44e-06,2.44e-06,32914748.45,0
26-05-2021,2.64e-06,2.93e-06,2.61e-06,2.73e-06,65397219.59,0
25-05-2021,2.92e-06,3.09e-06,2.36e-06,2.64e-06,74611756.41,0
24-05-2021,2.26e-06,3.04e-06,2.14e-06,2.92e-06,86602073.88,0
23-05-2021,2.62e-06,2.94e-06,1.87e-06,2.26e-06,78493395.25,0
22-05-2021,2.76e-06,2.78e-06,2.15e-06,2.62e-06,65728905.41,0
21-05-2021,3.58e-06,3.79e-06,2.29e-06,2.76e-06,87870484.62,0
20-05-2021,3.13e-06,4.15e-06,2.86e-06,3.57e-06,117599053.68,0
19-05-2021,5.79e-06,5.85e-06,2.53e-06,3.15e-06,151373251.56,0
18-05-2021,5.96e-06,6.75e-06,5.57e-06,5.79e-06,178526839.01,0
17-05-2021,7.07e-06,7.07e-06,5.21e-06,5.96e-06,194437324.4,0
16-05-2021,7.61e-06,8.53e-06,5.45e-06,7.07e-06,202392687.32,0
15-05-2021,1.057e-05,1.057e-05,6.9e-06,7.63e-06,198500544.13,0
14-05-2021,8.3e-06,1.387e-05,7.77e-06,1.057e-05,286579439.58,0
13-05-2021,7.03e-06,9.48e-06,4.7e-06,8.3e-06,191383399.78,0
12-05-2021,1.437e-05,1.649e-05,6.95e-06,7.16e-06,328441274.94,0
11-05-2021,1.604e-05,2.886e-05,1.17e-05,1.448e-05,629145474.01,0
10-05-2021,7.46e-06,1.715e-05,5.95e-06,1.605e-05,554742121.31,0
09-05-2021,5.08e-06,1.006e-05,4.38e-06,7.5e-06,440217994.12,0
08-05-2021,1.85e-06,6.37e-06,1.85e-06,5.06e-06,306822888.72,0
07-05-2021,1.29e-06,2.5e-06,1.19e-06,1.85e-06,45196409.26,0
06-05-2021,1.34e-06,1.34e-06,1.2e-06,1.3e-06,4086492.88,0
05-05-2021,1.31e-06,1.49e-06,1.22e-06,1.34e-06,11966666.44,0
04-05-2021,1.11e-06,1.51e-06,1.04e-06,1.3e-06,12703495.96,0
03-05-2021,1.18e-06,1.27e-06,1.06e-06,1.11e-06,5024003.27,0
02-05-2021,1.39e-06,1.39e-06,1.13e-06,1.17e-06,5897916.97,0
01-05-2021,1.43e-06,1.54e-06,1.25e-06,1.39e-06,11378175.59,0
30-04-2021,1.23e-06,1.58e-06,1.21e-06,1.43e-06,16650307.73,0
29-04-2021,1.46e-06,1.49e-06,1.16e-06,1.23e-06,21998135.23,0
28-04-2021,9.7e-07,1.53e-06,8.7e-07,1.46e-06,27193531.48,0
27-04-2021,1.2e-06,1.24e-06,8e-07,9.7e-07,14214871.53,0
26-04-2021,1.39e-06,1.48e-06,1.19e-06,1.2e-06,8905492.94,0
25-04-2021,1.6e-06,1.76e-06,1.24e-06,1.39e-06,13492813.68,0
24-04-2021,1.17e-06,1.8e-06,1.11e-06,1.6e-06,28540461.17,0
23-04-2021,1.62e-06,1.79e-06,1.02e-06,1.17e-06,29735456.45,0
22-04-2021,1.61e-06,2.25e-06,1.4e-06,1.62e-06,45371641.3,0
21-04-2021,4.46e-06,4.49e-06,1.25e-06,1.61e-06,97977493.8,0
20-04-2021,3.82e-06,8.9e-06,2.61e-06,4.44e-06,359681438.63,0
19-04-2021,1.18e-06,4.18e-06,1.03e-06,3.84e-06,67665880.33,0
