Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,0,0,0,0,4514.95,0
26-06-2021,0,0,0,0,12851.31,0
25-06-2021,0,0,0,0,17397.83,0
24-06-2021,0,0,0,0,12570.58,0
23-06-2021,0,0,0,0,11989.26,0
22-06-2021,0,0,0,0,9911.08,0
21-06-2021,1e-08,1e-08,0,0,31202.75,0
20-06-2021,1e-08,1e-08,0,1e-08,23542.96,0
19-06-2021,1e-08,1e-08,1e-08,1e-08,15020.62,0
18-06-2021,1e-08,1e-08,1e-08,1e-08,28544.01,0
17-06-2021,1e-08,1e-08,1e-08,1e-08,22625.51,0
16-06-2021,1e-08,1e-08,1e-08,1e-08,109350.58,0
15-06-2021,1e-08,1e-08,1e-08,1e-08,29427.76,0
14-06-2021,1e-08,1e-08,1e-08,1e-08,14821.32,0
13-06-2021,1e-08,1e-08,1e-08,1e-08,23309.04,0
12-06-2021,1e-08,1e-08,1e-08,1e-08,23728.65,0
11-06-2021,1e-08,1e-08,1e-08,1e-08,48445.23,0
10-06-2021,1e-08,1e-08,1e-08,1e-08,42908.87,0
09-06-2021,1e-08,1e-08,1e-08,1e-08,42494.1,0
08-06-2021,1e-08,1e-08,1e-08,1e-08,103244.81,0
07-06-2021,1e-08,1e-08,1e-08,1e-08,66357.67,0
06-06-2021,1e-08,1e-08,1e-08,1e-08,112399.85,0
05-06-2021,1e-08,1e-08,1e-08,1e-08,186864.47,0
04-06-2021,1e-08,2e-08,1e-08,1e-08,64905.45,0
03-06-2021,1e-08,2e-08,1e-08,1e-08,165564.57,0
02-06-2021,1e-08,2e-08,1e-08,1e-08,183540.16,0
01-06-2021,1e-08,1e-08,1e-08,1e-08,49068.94,0
31-05-2021,1e-08,1e-08,1e-08,1e-08,213439.26,0
30-05-2021,1e-08,2e-08,1e-08,1e-08,177032.79,0
29-05-2021,1e-08,1e-08,1e-08,1e-08,61505.39,0
28-05-2021,1e-08,1e-08,1e-08,1e-08,25050.31,0
27-05-2021,1e-08,1e-08,1e-08,1e-08,122186.99,0
26-05-2021,1e-08,1e-08,1e-08,1e-08,67929.6,0
25-05-2021,1e-08,1e-08,1e-08,1e-08,106524.33,0
24-05-2021,1e-08,1e-08,1e-08,1e-08,69338.86,0
23-05-2021,1e-08,1e-08,1e-08,1e-08,137448.78,0
22-05-2021,1e-08,1e-08,1e-08,1e-08,144566.52,0
21-05-2021,2e-08,2e-08,1e-08,1e-08,115780.45,0
20-05-2021,1e-08,2e-08,1e-08,2e-08,229805.78,0
19-05-2021,2e-08,2e-08,1e-08,1e-08,331322.9,0
18-05-2021,2e-08,3e-08,1e-08,2e-08,976464.29,0
17-05-2021,3e-08,3e-08,2e-08,2e-08,1606321.28,0
16-05-2021,4e-08,4e-08,2e-08,3e-08,712276.04,0
15-05-2021,5e-08,5e-08,3e-08,4e-08,799550.08,0
14-05-2021,4e-08,8e-08,4e-08,5e-08,1830712.06,0
13-05-2021,5e-08,6e-08,0,4e-08,29036264.71,0
12-05-2021,1e-07,1.3e-07,4e-08,5e-08,2363178.25,0
11-05-2021,1.5e-07,1.9e-07,1e-07,1e-07,4680448.21,0
10-05-2021,5e-08,1.6e-07,5e-08,1.5e-07,6940689.86,0
09-05-2021,4e-08,8e-08,3e-08,5e-08,3724767.99,0
08-05-2021,4e-08,1e-07,3e-08,4e-08,3749903.63,0
07-05-2021,2e-08,4e-08,2e-08,4e-08,1295334.72,0
06-05-2021,3e-08,4e-08,2e-08,2e-08,255663.84,0
05-05-2021,2e-08,4e-08,2e-08,3e-08,1234934.63,0
04-05-2021,1e-08,3e-08,1e-08,2e-08,580646.93,0
03-05-2021,1e-08,2e-08,1e-08,1e-08,0,0
02-05-2021,2e-08,2e-08,1e-08,1e-08,10378.2,0
01-05-2021,2e-08,2e-08,1e-08,2e-08,1867.16,0
30-04-2021,1e-08,2e-08,1e-08,2e-08,2259.41,0
29-04-2021,2e-08,2e-08,1e-08,1e-08,2769.14,0
28-04-2021,2e-08,2e-08,1e-08,2e-08,207.38,0
27-04-2021,2e-08,2e-08,2e-08,2e-08,665.32,0
26-04-2021,2e-08,3e-08,2e-08,2e-08,2500.7,0
25-04-2021,3e-08,3e-08,2e-08,2e-08,773.98,0
24-04-2021,2e-08,4e-08,2e-08,3e-08,2275.99,0
23-04-2021,3e-08,3e-08,1e-08,2e-08,5376.22,0
22-04-2021,3e-08,4e-08,2e-08,3e-08,4966.21,0
21-04-2021,8e-08,8e-08,2e-08,3e-08,30452.11,0
20-04-2021,5e-08,1e-07,5e-08,8e-08,38244.8,0
