Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,1.1e-07,1.1e-07,1e-07,1.1e-07,1267679.12,0
26-06-2021,1.1e-07,1.1e-07,1e-07,1.1e-07,1592616.11,0
25-06-2021,1.2e-07,1.2e-07,1e-07,1.1e-07,3974683.54,0
24-06-2021,1.1e-07,1.2e-07,1e-07,1.2e-07,3158206.08,0
23-06-2021,1e-07,1.2e-07,1e-07,1.1e-07,4177699.79,0
22-06-2021,1e-07,1.2e-07,9e-08,1e-07,5303342.8,0
21-06-2021,1.6e-07,1.6e-07,1e-07,1e-07,4882615.34,0
20-06-2021,1.6e-07,1.7e-07,1.4e-07,1.6e-07,4123757.59,0
19-06-2021,1.8e-07,1.9e-07,1.6e-07,1.6e-07,4367057.83,0
18-06-2021,2e-07,2e-07,1.7e-07,1.8e-07,3205882.94,0
17-06-2021,2.2e-07,2.2e-07,2e-07,2e-07,3060363.32,0
16-06-2021,2.5e-07,2.5e-07,2.1e-07,2.2e-07,3272290.8,0
15-06-2021,2.3e-07,2.6e-07,2.2e-07,2.3e-07,3192711.37,0
14-06-2021,2.4e-07,2.5e-07,2.3e-07,2.4e-07,23002166.76,0
13-06-2021,2.3e-07,2.5e-07,2.1e-07,2.4e-07,22071971.98,0
12-06-2021,2.2e-07,2.4e-07,2.1e-07,2.3e-07,22199077.3,0
11-06-2021,2.5e-07,2.5e-07,2.2e-07,2.2e-07,22133162.19,0
10-06-2021,2.6e-07,2.8e-07,2.4e-07,2.5e-07,24150911.19,0
09-06-2021,2.7e-07,2.8e-07,2.4e-07,2.6e-07,28543690.03,0
08-06-2021,2.5e-07,2.7e-07,2.3e-07,2.7e-07,30849979.86,0
07-06-2021,3.2e-07,3.5e-07,2.5e-07,2.5e-07,27199688.57,0
06-06-2021,3.6e-07,3.7e-07,3.1e-07,3.2e-07,33128510.91,0
05-06-2021,3.7e-07,4.1e-07,3.4e-07,3.6e-07,38806698.24,0
04-06-2021,4.2e-07,4.3e-07,3.5e-07,3.7e-07,52409590.86,0
03-06-2021,3.8e-07,4.5e-07,3.4e-07,4.2e-07,64817235.19,0
02-06-2021,2.5e-07,4.2e-07,2.5e-07,3.8e-07,64214512.29,0
01-06-2021,2.6e-07,2.7e-07,2.4e-07,2.5e-07,26159557.81,0
31-05-2021,2.4e-07,2.7e-07,2.2e-07,2.6e-07,27193770.05,0
30-05-2021,2.4e-07,2.6e-07,2.2e-07,2.4e-07,25298133.9,0
29-05-2021,2.7e-07,2.8e-07,2.3e-07,2.4e-07,24327047.81,0
28-05-2021,2.9e-07,3e-07,2.6e-07,2.7e-07,29236417.59,0
27-05-2021,3.2e-07,3.4e-07,2.8e-07,2.9e-07,36404638.76,0
26-05-2021,3.2e-07,3.5e-07,3e-07,3.2e-07,37382276.19,0
25-05-2021,3.6e-07,3.8e-07,2.7e-07,3.2e-07,42178501.64,0
24-05-2021,2.6e-07,3.8e-07,2.5e-07,3.6e-07,53913592.32,0
23-05-2021,3.9e-07,3.9e-07,2.1e-07,2.6e-07,41369480.6,0
22-05-2021,4.3e-07,4.4e-07,3.3e-07,3.9e-07,52829168.63,0
21-05-2021,5.6e-07,5.9e-07,4e-07,4.3e-07,73361687.75,0
20-05-2021,4.8e-07,6.2e-07,4.4e-07,5.5e-07,97801108.92,0
19-05-2021,8.1e-07,8.1e-07,4.3e-07,4.8e-07,124751228.19,0
18-05-2021,4.7e-07,9.3e-07,4.7e-07,8.1e-07,243159332.09,0
17-05-2021,7.2e-07,7.2e-07,4.2e-07,4.7e-07,90123870.71,0
16-05-2021,8.2e-07,8.5e-07,5.5e-07,7.2e-07,121689166.04,0
15-05-2021,1.23e-06,1.23e-06,7.7e-07,8.2e-07,143590332.49,0
14-05-2021,1.02e-06,1.71e-06,1e-06,1.22e-06,295236997.98,0
13-05-2021,9.1e-07,1.15e-06,5.6e-07,1.02e-06,288572689.6,0
12-05-2021,2.05e-06,2.33e-06,8.9e-07,8.9e-07,339917000.43,0
11-05-2021,3.7e-06,5.51e-06,1.8e-06,2.05e-06,1036104373.5,0
10-05-2021,4.6e-07,3.78e-06,4.2e-07,3.7e-06,1511380651.97,0
09-05-2021,2.3e-07,8.8e-07,2e-07,4.6e-07,207502247.48,0
08-05-2021,5e-08,2.5e-07,5e-08,2.3e-07,81812594.63,0
07-05-2021,4e-08,5e-08,3e-08,5e-08,6501037.59,0
06-05-2021,4e-08,5e-08,3e-08,4e-08,4844451.09,0
05-05-2021,3e-08,4e-08,3e-08,4e-08,5093164.27,0
04-05-2021,3e-08,3e-08,2e-08,3e-08,2939548.19,0
03-05-2021,3e-08,3e-08,3e-08,3e-08,3171186.88,0
02-05-2021,3e-08,3e-08,3e-08,3e-08,3072718.97,0
01-05-2021,4e-08,4e-08,3e-08,3e-08,3611847.04,0
30-04-2021,3e-08,4e-08,3e-08,4e-08,3960161.66,0
29-04-2021,4e-08,4e-08,3e-08,3e-08,3439873.6,0
28-04-2021,4e-08,4e-08,3e-08,4e-08,4155386.07,0
27-04-2021,4e-08,4e-08,3e-08,4e-08,4125785.18,0
26-04-2021,4e-08,5e-08,4e-08,4e-08,486183.71,0
25-04-2021,5e-08,5e-08,4e-08,4e-08,1032580.49,0
24-04-2021,6e-08,6e-08,5e-08,5e-08,832310.85,0
23-04-2021,6e-08,6e-08,4e-08,6e-08,1242409.96,0
22-04-2021,4e-08,9e-08,4e-08,6e-08,0,0
21-04-2021,4e-08,1e-07,4e-08,4e-08,608706.23,0
20-04-2021,2e-08,6e-08,2e-08,4e-08,1702814.83,0
19-04-2021,1e-08,2e-08,1e-08,2e-08,76126.14,0
18-04-2021,1e-08,1e-08,1e-08,1e-08,54974.65,0
17-04-2021,1e-08,1e-08,1e-08,1e-08,76592.3,0
16-04-2021,1e-08,1e-08,1e-08,1e-08,0,0
15-04-2021,1e-08,1e-08,1e-08,1e-08,93927.54,0
14-04-2021,1e-08,1e-08,1e-08,1e-08,102417.98,0
13-04-2021,1e-08,1e-08,1e-08,1e-08,131705.01,0
12-04-2021,1e-08,1e-08,1e-08,1e-08,172477.45,0
11-04-2021,1e-08,1e-08,1e-08,1e-08,163658.57,0
10-04-2021,1e-08,1e-08,1e-08,1e-08,177423.72,0
09-04-2021,1e-08,1e-08,1e-08,1e-08,267486.8,0
08-04-2021,1e-08,1e-08,1e-08,1e-08,241272.92,0
07-04-2021,1e-08,1e-08,1e-08,1e-08,203436.38,0
06-04-2021,1e-08,1e-08,1e-08,1e-08,347338.18,0
05-04-2021,2e-08,2e-08,1e-08,1e-08,1043845.64,0
04-04-2021,0,2e-08,0,2e-08,2041798.88,0
03-04-2021,0,0,0,0,106763.01,0
02-04-2021,0,0,0,0,43223.09,0
01-04-2021,0,0,0,0,62321.21,0
31-03-2021,0,0,0,0,51437.69,0
30-03-2021,0,0,0,0,370.59,0
29-03-2021,0,0,0,0,372.66,0
28-03-2021,0,0,0,0,344.35,0
27-03-2021,0,0,0,0,567.91,0
26-03-2021,0,1e-08,0,0,633.88,0
25-03-2021,1e-08,1e-08,0,0,1416.66,0
24-03-2021,0,1e-08,0,1e-08,1247.93,0
23-03-2021,0,1e-08,0,0,1581.06,0
22-03-2021,1e-08,1e-08,0,0,1472.65,0
21-03-2021,1e-08,1e-08,1e-08,1e-08,0.03,0
20-03-2021,0,1e-08,0,1e-08,597059.56,0
19-03-2021,1e-08,1e-08,0,0,396884.05,0
18-03-2021,2e-08,2e-08,1e-08,1e-08,592673.67,0
17-03-2021,2e-08,3e-08,2e-08,2e-08,981374.31,0
16-03-2021,2e-08,2e-08,1e-08,2e-08,1010628,0
