Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,2.56320962,2.92979081,2.56036513,2.92088579,193579.62,0
26-06-2021,2.64165347,2.70765363,2.47956557,2.55953164,124006.25,0
25-06-2021,2.91540035,2.95071154,2.54891042,2.64252779,251466.57,0
24-06-2021,2.92504901,3.04465684,2.73602813,2.91243017,17775.6,0
23-06-2021,2.37008166,2.92592774,2.31558391,2.81890366,19448.26,0
22-06-2021,2.36751477,2.56080225,2.04986404,2.37086043,29889.06,0
21-06-2021,3.25634345,3.26718286,2.36883938,2.36883938,27503.61,0
20-06-2021,3.44031316,3.45274861,3.01563539,3.25600503,14416.05,0
19-06-2021,3.42347952,3.5351649,3.37659076,3.43936083,8404.73,0
18-06-2021,3.55481657,3.59858132,3.34471704,3.42300638,14221.61,0
17-06-2021,3.74658865,3.85589262,3.51336764,3.55435338,31089.45,0
16-06-2021,4.02321295,4.02321295,3.56939424,3.74450675,25794.8,0
15-06-2021,4.18539763,4.24197175,3.97964715,4.18850848,8136.26,0
14-06-2021,3.5338735,4.24355153,3.53338253,3.60788185,1.02,0
13-06-2021,3.5394033,3.54012101,3.53353339,3.53390601,0,0
12-06-2021,3.53690543,3.53963326,3.53505439,3.53944537,0,0
11-06-2021,3.53727015,3.53835085,3.53396545,3.53727478,0,0
10-06-2021,3.53542161,3.53816208,3.53440378,3.53717817,0,0
09-06-2021,3.53739266,3.53859011,3.53397841,3.53582693,0,0
08-06-2021,4.14715255,4.22344736,3.53544849,3.53730691,0,0
07-06-2021,4.56813772,4.74278435,4.14460945,4.14460945,1930.07,0
06-06-2021,4.51060609,4.68328515,4.46325724,4.56731501,11710.37,0
05-06-2021,4.98371176,5.30596119,4.45424703,4.51461212,12701.03,0
04-06-2021,5.61141534,5.62882838,4.75023472,4.9739571,7592.09,0
03-06-2021,5.30492578,5.85734102,5.23953271,5.61026568,15100.9,0
02-06-2021,4.45103907,5.3112688,4.32198287,5.30588902,21472.82,0
01-06-2021,4.5388825,4.72743941,4.22974656,4.4460001,59053.66,0
31-05-2021,4.12675566,4.75236219,4.10828953,4.53741966,15942.33,0
30-05-2021,3.84099809,4.20648467,3.70033698,4.12566611,12029.09,0
29-05-2021,4.11240865,4.3104947,3.66818124,3.83855353,13042.92,0
28-05-2021,4.77222665,4.79305379,3.89435209,4.11235273,16915.93,0
27-05-2021,5.23685794,5.24733686,4.45314186,4.76308341,32720.82,0
26-05-2021,4.57805087,5.42290397,4.54665661,5.24203601,55318.28,0
25-05-2021,5.11785229,5.506924,4.08210786,4.57438119,31644.57,0
24-05-2021,3.75036066,5.1896203,3.75036066,5.11537598,58132.68,0
23-05-2021,4.48609347,4.85094538,2.66325279,3.74970373,130752.15,0
22-05-2021,4.57682985,5.33199785,4.40269412,4.4930032,37467.03,0
21-05-2021,6.47429495,6.84787709,3.98979559,4.5709932,49729.06,0
20-05-2021,6.22566802,7.21394198,4.68071757,6.46910603,63468.39,0
19-05-2021,8.22713168,8.34595092,4.82043764,6.06017442,122557.73,0
18-05-2021,7.74238253,8.36706927,7.7004793,8.23526696,21733.2,0
17-05-2021,10.8837024,10.90715358,6.92919683,7.74126888,255405.48,0
16-05-2021,11.14162329,12.47703659,10.11119726,10.89214282,112229.13,0
15-05-2021,10.11012522,12.24099382,9.76032095,11.18765278,177634.21,0
14-05-2021,9.76758847,10.93397712,9.65407033,10.10641643,131493.47,0
13-05-2021,9.94927323,12.70714277,8.76941485,9.73022657,221601.9,0
12-05-2021,8.8586353,15.07620655,8.77413127,10.00079065,683751.19,0
11-05-2021,6.08152941,9.03925218,5.80243303,8.81559923,552116.62,0
10-05-2021,5.61298984,6.57683126,5.25714492,6.06968974,441530.14,0
09-05-2021,5.37377854,6.17899029,5.12152495,5.60963012,261545.01,0
08-05-2021,5.04949406,6.20536832,4.7500189,5.3546034,430465.87,0
07-05-2021,4.80595228,5.30453329,4.502183,5.04490678,220178.9,0
06-05-2021,4.65647914,4.8609596,4.06064768,4.7496846,199894.72,0
05-05-2021,3.57984891,4.72757985,3.56120901,4.65546633,168055.81,0
04-05-2021,4.19095061,4.19095061,3.5290763,3.57720972,128033.99,0
03-05-2021,4.36309065,5.05523044,3.89668893,4.20747233,232793.47,0
02-05-2021,3.98338093,4.43275186,3.72739975,4.36041805,186077.49,0
01-05-2021,3.7792068,4.46630739,3.68991119,3.98932456,232500.91,0
30-04-2021,3.92800266,4.11174275,3.46833425,3.77351473,194699.37,0
29-04-2021,3.40706515,3.95847217,3.33569077,3.93035796,147396.42,0
28-04-2021,3.55281267,3.75008828,3.05954945,3.40694712,321062.94,0
27-04-2021,3.94812153,4.15515861,3.40128522,3.55051564,355108.68,0
26-04-2021,3.64381082,4.27742592,3.42381208,3.94038722,1327581.02,0
25-04-2021,3.88257939,3.96017947,3.58722498,3.63644748,309340.32,0
24-04-2021,4.00024239,4.66740348,3.74882488,3.88210059,806524.32,0
23-04-2021,4.62558521,5.22763972,2.91671258,4.00102851,1757474.34,0
22-04-2021,3.17762864,4.84208125,3.13156121,4.62657911,1958800.55,0
21-04-2021,2.83586385,4.5708071,2.60191334,3.17872169,1013923.35,0
20-04-2021,2.85167006,2.92220354,2.54843182,2.83428602,1284203.92,0
19-04-2021,2.81678355,3.05909282,2.80809862,2.85141824,1146213.09,0
