Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,2.241e-05,2.525e-05,2.241e-05,2.525e-05,2450.76,0
26-06-2021,1.834e-05,2.41e-05,1.801e-05,2.239e-05,21243.97,0
25-06-2021,1.842e-05,1.975e-05,1.813e-05,1.835e-05,5547.26,0
24-06-2021,1.828e-05,1.881e-05,1.759e-05,1.834e-05,216.49,0
23-06-2021,1.749e-05,1.908e-05,1.72e-05,1.858e-05,1023.86,0
22-06-2021,1.815e-05,1.904e-05,1.65e-05,1.749e-05,882.75,0
21-06-2021,2.327e-05,2.335e-05,1.796e-05,1.815e-05,4620.74,0
20-06-2021,2.36e-05,2.407e-05,2.086e-05,2.326e-05,3948.28,0
19-06-2021,2.433e-05,2.46e-05,2.351e-05,2.358e-05,1621.81,0
18-06-2021,2.666e-05,2.671e-05,2.351e-05,2.431e-05,2289.45,0
17-06-2021,3.112e-05,3.236e-05,2.625e-05,2.666e-05,8239.78,0
16-06-2021,3.439e-05,3.439e-05,3.104e-05,3.112e-05,2615.16,0
15-06-2021,3.516e-05,3.576e-05,3.4e-05,3.552e-05,1655.29,0
14-06-2021,3.405e-05,3.516e-05,3.347e-05,3.474e-05,810.25,0
13-06-2021,3.288e-05,3.441e-05,3.206e-05,3.402e-05,775,0
12-06-2021,3.504e-05,3.507e-05,3.284e-05,3.288e-05,5349.96,0
11-06-2021,3.465e-05,3.704e-05,3.362e-05,3.502e-05,8926.46,0
10-06-2021,3.384e-05,3.624e-05,3.187e-05,3.466e-05,11584.83,0
09-06-2021,3.256e-05,3.422e-05,2.849e-05,3.39e-05,25248.77,0
08-06-2021,4.219e-05,4.268e-05,3.165e-05,3.255e-05,14344.13,0
07-06-2021,3.241e-05,5.567e-05,3.123e-05,4.225e-05,397060.47,0
06-06-2021,3.014e-05,3.273e-05,3.014e-05,3.24e-05,18964.62,0
05-06-2021,3.108e-05,3.244e-05,2.926e-05,3.024e-05,19772.88,0
04-06-2021,3.037e-05,5.849e-05,2.73e-05,3.119e-05,4325.22,0
03-06-2021,3.229e-05,3.266e-05,2.916e-05,3.036e-05,7918.74,0
02-06-2021,3.023e-05,3.306e-05,2.921e-05,3.229e-05,2732.42,0
01-06-2021,3.485e-05,3.511e-05,2.91e-05,3.023e-05,7130.31,0
31-05-2021,3.046e-05,3.486e-05,2.933e-05,3.484e-05,2253.54,0
30-05-2021,2.767e-05,3.189e-05,2.615e-05,3.05e-05,16202.7,0
29-05-2021,3.515e-05,3.681e-05,2.345e-05,2.741e-05,33303.39,0
28-05-2021,4.225e-05,4.247e-05,3.413e-05,3.518e-05,7442.66,0
27-05-2021,4.478e-05,4.488e-05,4.078e-05,4.216e-05,1354.17,0
26-05-2021,3.89e-05,4.501e-05,3.845e-05,4.478e-05,7194.95,0
25-05-2021,3.482e-05,4.29e-05,3.482e-05,3.891e-05,16814.97,0
24-05-2021,2.673e-05,3.501e-05,2.65e-05,3.483e-05,18856.1,0
23-05-2021,3.574e-05,3.993e-05,2.342e-05,2.673e-05,19967.09,0
