Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,0.10349025,0.11331979,0.10309929,0.11224084,93461.9,841953.33
26-06-2021,0.10843824,0.1153893,0.08374327,0.10322908,59798.99,774353.77
25-06-2021,0.0950177,0.12055157,0.09456578,0.10846261,860.49,813612.33
24-06-2021,0.07979226,0.09842135,0.07553765,0.09501464,8350.17,712905.86
23-06-2021,0.07567391,0.08329248,0.07420674,0.08115949,71515.24,608813.8
22-06-2021,0.08098028,0.08540263,0.0688343,0.07561149,121073.38,567195.93
21-06-2021,0.09401931,0.09448956,0.07967006,0.08092749,105749.87,607073.77
20-06-2021,0.08851626,0.09523984,0.08364254,0.09406474,79368.78,705636.85
19-06-2021,0.09144852,0.09271698,0.08859073,0.08872596,49912.73,665602.23
18-06-2021,0.13509848,0.13509936,0.08811798,0.09146446,97681.82,686146.08
17-06-2021,0.09499512,0.13510346,0.09169772,0.1350995,1600.1,1013486.94
16-06-2021,0.10292802,0.12006491,0.09432408,0.0949416,99107.64,712250.93
15-06-2021,0.11933507,0.14009819,0.07264492,0.1060111,113879.23,795327.01
14-06-2021,0.06595892,0.07621857,0.05191149,0.06311387,152067.95,473511.11
13-06-2021,0.0693934,0.15113523,0.06339852,0.06594589,121505.04,494758.4
12-06-2021,0.09276672,0.0971624,0.06867649,0.06935243,99201.71,520359.28
11-06-2021,0.10315252,0.10510766,0.09221506,0.09266445,76047.37,695302.46
10-06-2021,0.10619553,0.10655034,0.10011748,0.10310972,66770.13,773684.05
09-06-2021,0.1643291,0.16611643,0.10185474,0.10609519,127260.93,796087.3
08-06-2021,0.18361615,0.18471669,0.14379942,0.1644327,178172.58,1233891.31
07-06-2021,0.10764246,0.22130503,0.10716092,0.18407565,129403.68,1381293.02
06-06-2021,0.10177425,0.10842978,0.10060461,0.10762718,78051.8,807628.44
05-06-2021,0.10559578,0.11061791,0.09792164,0.10167548,82857.68,762978.49
04-06-2021,0.10703778,0.1085589,0.09985803,0.10561241,72287.58,792521.88
03-06-2021,0.10167372,0.1086348,0.09962941,0.10699383,120779.81,802937.55
02-06-2021,0.10175686,0.17541967,0.09787161,0.101794,50724.88,763915.63
01-06-2021,0.1003806,0.15567853,0.09483822,0.10167955,102628.64,763057.08
31-05-2021,0.08977925,0.10081604,0.08531737,0.10006914,115412.67,750972.09
30-05-2021,0.08106236,0.0952534,0.07795948,0.08980627,50347.86,673954.44
29-05-2021,0.13410433,0.1433257,0.07822354,0.08099094,68708.22,607799.79
28-05-2021,0.15453585,0.15542551,0.13106532,0.13405589,133415.83,1006090.15
27-05-2021,0.12283221,0.15514599,0.06892281,0.15465113,91214.04,1160658.06
26-05-2021,0.10859556,0.16236235,0.08259529,0.12272998,98568.62,921090.01
25-05-2021,0.07135487,0.10992515,0.06711041,0.10820301,62743.98,812065.42
24-05-2021,0.05723753,0.07158517,0.05686263,0.07121141,112885.37,534442.85
23-05-2021,0.08247994,0.085002,0.04988188,0.05747346,128215.78,431339.4
22-05-2021,0.14205453,0.1430051,0.07179532,0.08238465,72269.76,618339.59
21-05-2021,0.06586134,0.33314628,0.06586134,0.14175137,102243.11,1063917.75
20-05-2021,0.05095597,0.0773205,0.0456933,0.06575876,84628.63,493553.86
19-05-2021,0.07360369,0.1949087,0.0446369,0.05166126,179488.24,387744.89
18-05-2021,0.12821924,0.13588396,0.06803156,0.0736681,72603.98,552951.02
17-05-2021,0.18880339,0.18883621,0.04157509,0.12763559,161267.43,958029.81
16-05-2021,0.18157887,0.21001291,0.17696555,0.18880101,4189.38,1417202.03
15-05-2021,0.15259022,0.22882575,0.15255914,0.18163659,4092.28,1363424.03
14-05-2021,0.14642245,0.17352122,0.14641449,0.15256885,4422.59,1145246.19
13-05-2021,0.17152808,0.19527806,0.13620984,0.14645832,2090.39,1099378.22
12-05-2021,0.15788478,0.22882284,0.1400517,0.17152586,40952.24,1287546.04
11-05-2021,0.14571042,0.1600319,0.13862494,0.15789976,7753.71,1185920.88
10-05-2021,0.18344413,0.18351741,0.13522374,0.14570474,9854.96,1094329.04
09-05-2021,0.16886193,0.19404878,0.15817447,0.18343834,5187.01,1377730.78
08-05-2021,0.18726612,0.19011438,0.15678437,0.1688783,2459.05,1268376.25
07-05-2021,0.18503708,0.19503739,0.18496381,0.18721757,4523.32,1406115.02
06-05-2021,0.18426568,0.19803852,0.17825656,0.18499283,5895.46,1389405.9
05-05-2021,0.17346736,0.18503421,0.15996868,0.18431252,15207.31,1384296.38
04-05-2021,0.1739354,0.1739354,0.16844656,0.17348481,5354.73,1302973.86
03-05-2021,0.17395946,0.17542586,0.16392222,0.17389134,13065.86,1306027.18
