Date,Open,High,Low,Close,Volume,Market Cap
27-06-2021,0.07401913,0.07794177,0.07135762,0.07783323,529222332.05,5005889050.94
26-06-2021,0.07223317,0.07576119,0.06912334,0.07384868,619431810.94,4749620450.25
25-06-2021,0.08075032,0.08313287,0.07123718,0.07238231,670392801.72,4655310099
24-06-2021,0.07616896,0.08307062,0.07237662,0.0805447,683575243.94,5180278997.18
23-06-2021,0.07164692,0.0843426,0.06811449,0.07576476,857491824.37,4872854425.26
22-06-2021,0.07343475,0.08088847,0.05984625,0.07147065,1125820074.2,4596675844.05
21-06-2021,0.09844089,0.09886118,0.07310836,0.07371606,733107112.43,4741090982.23
20-06-2021,0.09667375,0.1005107,0.08846592,0.09871867,618711444.19,6349148183.1
19-06-2021,0.09968804,0.10206735,0.09690812,0.09708244,500490017.54,6243912904.38
18-06-2021,0.10726967,0.10726967,0.09646757,0.099464,640121510.94,6397084366.35
17-06-2021,0.10755965,0.11146244,0.10505567,0.10721979,532672785.26,6895902550.1
16-06-2021,0.11139193,0.11425552,0.10574557,0.10748552,623321358.83,6912993360.81
15-06-2021,0.11346158,0.1155282,0.11015691,0.11347641,684621995.8,7298300731.51
14-06-2021,0.11240009,0.1166102,0.10870046,0.11303601,633678086.16,7269976142.39
13-06-2021,0.10633928,0.11551252,0.10016024,0.11254363,613491926.78,7238308181.89
12-06-2021,0.10486513,0.10792916,0.09692944,0.10602965,784592087.46,6819358194.25
11-06-2021,0.11202561,0.11456401,0.10354885,0.10487848,786510169.14,6745320104.53
10-06-2021,0.12006615,0.12193643,0.10942443,0.11185392,900627272.01,7193949159.18
09-06-2021,0.1129769,0.11998229,0.10581094,0.11998229,1119991466.15,7716729928.3
08-06-2021,0.11471599,0.11829346,0.09992997,0.11346696,1318667052.61,7297692808.04
07-06-2021,0.12806817,0.13644233,0.11372579,0.11442336,1021288398.25,7359204262.01
06-06-2021,0.1254681,0.13385135,0.12457496,0.12862732,911866250.12,8272740047.2
05-06-2021,0.12915632,0.14147889,0.12071439,0.12523201,1292109203.63,8054368786.05
04-06-2021,0.14309223,0.15279709,0.12018958,0.12929736,1834673568.36,8315834030.75
03-06-2021,0.12588165,0.14510233,0.12350772,0.14269044,1206422464.16,9177218061.97
02-06-2021,0.1207011,0.13194307,0.11726183,0.12583444,908164506.14,8093114304.47
01-06-2021,0.1260727,0.12954811,0.11805702,0.12071564,982507746.97,7763896019.25
31-05-2021,0.1075829,0.12615818,0.10234386,0.12615818,1099204273.21,8113935910.55
30-05-2021,0.0989153,0.11437903,0.09302048,0.10757165,944816475.89,6918532733.58
29-05-2021,0.10824177,0.11374882,0.09285749,0.09899047,954502202.94,6366629259.75
28-05-2021,0.12369207,0.12523771,0.10282978,0.1082996,1251620637.69,6965351243.78
27-05-2021,0.13313166,0.13569188,0.11908168,0.12329938,1189927886.89,7930071060.16
26-05-2021,0.11282599,0.14078622,0.10996463,0.13310035,1847952033.78,8560425904.94
25-05-2021,0.1124659,0.12017861,0.10483431,0.11236291,1451391632.77,7226685456.5
24-05-2021,0.08648118,0.11757583,0.0856866,0.11198361,1643873627.12,7202290429.66
23-05-2021,0.0996784,0.10549522,0.06594185,0.08693621,1936422716.66,5591352655.52
22-05-2021,0.10857304,0.11188915,0.09355899,0.09952686,1442149440.36,6401127405.91
21-05-2021,0.13089965,0.1391344,0.09016867,0.10865969,2093678099.99,6988510490.83
20-05-2021,0.1053227,0.14586439,0.09034035,0.13179658,2558614798.92,8476573345.4
19-05-2021,0.1622421,0.1643419,0.0682232,0.10766928,3454702256.39,6924811764.6
18-05-2021,0.15759236,0.1715412,0.15645261,0.16207926,1473736574.47,10424221132.79
17-05-2021,0.17634993,0.17733113,0.1492232,0.15802102,1890934542.38,10163212886.09
16-05-2021,0.17234018,0.19248447,0.16035101,0.17673742,2033029696.49,11366969104.21
15-05-2021,0.18661698,0.18774511,0.17012114,0.17209523,1614625944.73,11068404292.41
14-05-2021,0.18190601,0.19273233,0.17772018,0.18673977,1690827422.53,12010276108.71
13-05-2021,0.16737781,0.190018,0.15844327,0.18207064,3086028058.27,11709978085.36
12-05-2021,0.21276763,0.21483268,0.16456216,0.16456216,2009703770.81,10583910310.38
11-05-2021,0.20298195,0.21331521,0.19567752,0.21282739,2017218809.86,13688116550.88
10-05-2021,0.23376992,0.23931418,0.18877741,0.20280235,2172670700.26,13043350171.67
09-05-2021,0.22330407,0.23709761,0.20935752,0.23375691,2303277847.03,15034210512.87
08-05-2021,0.23038845,0.23624767,0.21901514,0.22331209,1932906248.24,14362445890.54
07-05-2021,0.2157078,0.24992887,0.21357336,0.23084553,4160493193.73,14846963497.83
06-05-2021,0.20729391,0.22224881,0.20106224,0.21527984,2577328384.6,13845847254.4
05-05-2021,0.18768341,0.2086113,0.18630351,0.20731901,2290077818.61,13333841997.35
04-05-2021,0.21086521,0.21098394,0.18579776,0.18857881,2474369355.82,12128554999.39
03-05-2021,0.21519715,0.22195024,0.20631462,0.21077949,1989302262.68,13556404248.26
02-05-2021,0.20399893,0.22497804,0.19741733,0.21602791,2686761496.24,13893959549.65
01-05-2021,0.20101664,0.20783583,0.19322699,0.20418959,1583517269.81,13132571054.98
30-04-2021,0.19135698,0.20333482,0.1867388,0.20107878,1884403790.33,12932497609.03
29-04-2021,0.19851248,0.20048516,0.1819609,0.19135705,2219882058.19,12307238771.58
28-04-2021,0.20810199,0.21459009,0.18780518,0.1985996,2494693369.39,12773047569.75
27-04-2021,0.18859445,0.22311613,0.18527855,0.20891984,3067552593,13436800291.07
26-04-2021,0.16812925,0.19886802,0.16541031,0.18886194,2640721176.52,12146764740.84
25-04-2021,0.17835911,0.18805657,0.15551947,0.16777871,1974505121.39,10790784389.36
24-04-2021,0.20184855,0.20579144,0.17766089,0.17827859,2566155757.86,11466090528.18
23-04-2021,0.19020094,0.20601908,0.13327965,0.20128502,5799174515,12945761880.66
22-04-2021,0.22610087,0.23504874,0.17832485,0.19079713,3509134606.53,12271227775.03
21-04-2021,0.25114193,0.254504,0.22225991,0.22723066,2359769962.89,14614470902.35
20-04-2021,0.22820672,0.26556263,0.20622711,0.25199664,3359505568.91,16207309116.97
19-04-2021,0.25320609,0.26764279,0.2223966,0.22933907,3625884888.12,14750074888.4
18-04-2021,0.22923435,0.25463234,0.1765568,0.25463234,4607771247.59,16376826083.87
17-04-2021,0.23511991,0.27821609,0.21565841,0.22758538,5627201729.08,14637285302.52
16-04-2021,0.17585332,0.24568467,0.15922175,0.2380889,4767793713.18,15312825039.77
15-04-2021,0.16830232,0.18937906,0.16830232,0.17657083,2343016460.59,11356255025.24
14-04-2021,0.15306281,0.17618298,0.15306281,0.16874282,3003006410.72,10852791852.76
13-04-2021,0.12887846,0.15861824,0.12887846,0.15296157,2008988287.88,9837811904.54
12-04-2021,0.13967746,0.14006873,0.12721494,0.12892255,1360850860.62,8291728161.68
11-04-2021,0.14221975,0.1451481,0.13084357,0.13974241,1606079521.17,8987613626.23
