iter	RMSE
0	345.6209555
1	340.5798029
2	335.4172116
3	330.4256615
4	325.3055417
5	320.2643598
6	315.4987069
7	310.9374902
8	306.3487714
9	301.8586451
10	297.4062292
11	293.1492281
12	288.9032681
13	284.6983842
14	280.7840875
15	276.891178
16	272.8694885
17	269.0154973
18	265.4211213
19	261.74089
20	258.2795555
21	254.9756161
22	251.7052883
23	248.4252781
24	245.070326
25	241.8857087
26	238.6926779
27	235.5813877
28	232.6354202
29	229.6467696
30	226.6734818
31	223.6389766
32	220.8666557
33	218.1340381
34	215.6454645
35	213.0049715
36	210.3395868
37	207.8863932
38	205.4192487
39	202.9995448
40	200.6340884
41	198.3598118
42	196.0931063
43	193.8727072
44	191.7487003
45	189.7176319
46	187.7409231
47	185.7229148
48	183.7816924
49	181.8343378
50	179.9539257
51	178.0457265
52	176.322931
53	174.559678
54	172.7686274
55	171.113768
56	169.4931945
57	167.8991399
58	166.3604537
59	164.7411462
60	163.2842303
61	161.8219215
62	160.4579643
63	159.1480895
64	157.8059763
65	156.495532
66	155.1966182
67	153.9110401
68	152.7249916
69	151.533294
70	150.3811481
71	149.167077
72	148.056941
73	146.8792165
74	145.8178126
75	144.720495
76	143.7219437
77	142.6889464
78	141.6430793
79	140.5978815
80	139.628237
81	138.6998625
82	137.7952307
83	136.8899632
84	136.0177063
85	135.1574047
86	134.2943971
87	133.512994
88	132.6383903
89	131.8107421
90	131.0237101
91	130.2778226
92	129.5232482
93	128.778963
94	128.096284
95	127.5041398
96	126.8263134
97	126.1130849
98	125.5065228
99	124.9200168
100	124.3602478
101	123.8291088
102	123.2485092
103	122.6780751
104	122.1358962
105	121.5970881
106	121.0862615
107	120.5825577
108	120.0637277
109	119.6230113
110	119.1282509
111	118.6547234
112	118.2100239
113	117.7157038
114	117.2750242
115	116.8349882
116	116.4148712
117	115.972355
118	115.5730643
119	115.1294237
120	114.7822132
121	114.3791539
122	113.9284715
123	113.5561416
124	113.1583801
125	112.7996868
126	112.4230321
127	112.086808
128	111.7142088
129	111.3952204
130	111.085189
131	110.7444834
132	110.3947504
133	110.1127433
134	109.7357709
135	109.3790901
136	109.0396684
137	108.7556606
138	108.4616127
139	108.1965967
140	107.9207595
141	107.6290517
142	107.365581
143	107.1103678
144	106.8259144
145	106.5373393
146	106.2409931
147	105.9769684
148	105.7359866
149	105.4898695
150	105.2847199
151	105.04465
152	104.8052088
153	104.5377757
154	104.3289743
155	104.1214409
156	103.8653355
157	103.6540796
158	103.4531157
159	103.1531024
160	102.9656167
161	102.7397511
162	102.5263799
163	102.3529455
164	102.1816278
165	101.9992702
166	101.789194
167	101.6035997
168	101.3984706
169	101.1767575
170	101.0153212
171	100.8464366
172	100.6144867
173	100.4462118
