iter	Passed	Remaining
0	178	1785040
1	183	917609
2	188	627148
3	192	482113
4	197	395151
5	202	337250
6	208	298235
7	213	266878
8	218	242273
9	222	222538
10	227	206361
11	231	192932
12	236	181518
13	240	171851
14	245	163374
15	249	155843
16	254	149367
17	258	143502
18	263	138284
19	267	133482
20	271	128870
21	274	124657
22	278	120810
23	282	117281
24	285	114073
25	289	111081
26	293	108403
27	297	105897
28	301	103540
29	305	101369
30	308	99282
31	312	97344
32	316	95500
33	319	93777
34	323	92153
35	327	90616
36	331	89169
37	335	87939
38	340	87065
39	345	86054
40	350	85074
41	355	84327
42	360	83405
43	365	82612
44	369	81732
45	373	80735
46	376	79666
47	379	78783
48	383	77864
49	386	76931
50	389	75967
51	392	75132
52	396	74351
53	399	73506
54	401	72669
55	404	71867
56	407	71153
57	410	70411
58	413	69690
59	416	68988
60	419	68314
61	422	67643
62	425	67040
63	427	66413
64	430	65806
65	433	65225
66	436	64675
67	439	64131
68	442	63623
69	445	63126
70	448	62716
71	451	62257
72	454	61799
73	457	61334
74	459	60871
75	462	60422
76	465	59996
77	468	59581
78	471	59180
79	474	58776
80	476	58382
81	479	58011
82	482	57648
83	485	57302
84	488	56951
85	491	56602
86	493	56278
87	497	56067
88	501	55835
89	504	55536
90	508	55354
91	511	55110
92	515	54885
93	519	54701
94	522	54492
95	526	54276
96	529	54024
97	532	53769
98	535	53515
99	537	53247
100	540	52986
101	544	52822
102	547	52573
103	549	52330
104	552	52090
105	555	51856
106	558	51661
107	561	51436
108	564	51212
109	567	50997
110	569	50780
111	573	50605
112	576	50400
113	578	50189
114	581	49986
115	584	49787
116	587	49598
117	589	49402
118	592	49212
119	595	49020
120	598	48838
121	601	48670
122	603	48497
123	606	48320
124	609	48147
125	612	47980
126	615	47819
127	617	47653
128	620	47488
129	623	47330
130	626	47179
131	629	47042
132	632	46891
133	634	46740
134	637	46593
135	640	46446
136	643	46313
137	646	46168
138	648	46025
139	651	45893
140	654	45761
141	657	45629
142	660	45499
143	662	45367
144	665	45236
145	668	45111
146	671	45009
147	676	45052
148	680	45004
149	684	44924
150	687	44861
151	691	44821
152	695	44742
153	698	44678
154	703	44654
155	706	44610
156	710	44567
157	714	44512
158	718	44481
159	722	44442
160	726	44385
161	730	44335
162	734	44328
163	738	44292
164	742	44268
165	746	44209
166	750	44195
167	755	44234
168	759	44187
169	764	44228
170	768	44164
171	771	44108
172	775	44074
173	779	44026
174	783	43971
175	786	43928
176	790	43871
177	794	43823
178	799	43840
179	802	43789
180	807	43811
181	811	43764
182	814	43706
183	818	43655
184	822	43616
185	825	43569
186	829	43525
187	833	43498
188	837	43492
189	842	43516
190	848	43578
191	852	43559
192	856	43538
193	860	43514
194	864	43464
195	867	43415
196	871	43364
197	874	43310
198	878	43267
199	882	43233
200	886	43207
201	890	43171
202	894	43158
203	897	43114
204	901	43060
205	904	42991
206	907	42929
207	911	42896
208	914	42833
209	917	42767
210	920	42701
211	923	42655
212	927	42601
213	930	42556
214	933	42503
215	937	42465
216	940	42411
217	944	42363
218	947	42320
219	950	42275
220	954	42226
221	957	42176
222	961	42133
223	964	42080
224	967	42033
225	970	41982
226	974	41958
227	977	41907
228	981	41886
229	985	41844
230	988	41808
231	992	41779
232	995	41742
233	999	41710
234	1002	41663
235	1006	41625
236	1009	41590
237	1014	41608
238	1018	41600
239	1023	41610
240	1029	41697
241	1033	41675
242	1038	41692
243	1044	41743
244	1047	41709
245	1050	41667
246	1054	41641
247	1058	41608
248	1061	41588
249	1064	41534
250	1068	41497
251	1072	41468
252	1075	41434
253	1078	41390
254	1081	41346
255	1085	41320
256	1089	41309
257	1093	41275
258	1096	41223
259	1099	41196
260	1102	41155
261	1106	41118
262	1109	41076
263	1112	41042
264	1116	41014
265	1119	40973
266	1122	40935
267	1125	40888
268	1129	40864
269	1132	40820
270	1136	40788
271	1139	40745
272	1142	40724
273	1146	40690
274	1149	40659
275	1153	40626
276	1156	40595
277	1160	40570
278	1163	40530
279	1166	40492
280	1170	40478
281	1174	40490
282	1178	40452
283	1181	40417
284	1184	40393
285	1188	40377
286	1192	40360
287	1195	40324
288	1198	40279
289	1202	40255
290	1205	40215
291	1208	40173
292	1211	40140
293	1214	40111
294	1217	40067
295	1220	40025
296	1223	39982
297	1226	39940
298	1229	39906
299	1233	39876
300	1236	39850
301	1239	39816
302	1242	39774
303	1246	39742
304	1248	39698
305	1251	39657
306	1254	39618
307	1257	39584
308	1260	39543
309	1263	39502
310	1266	39461
311	1269	39421
312	1272	39391
313	1275	39359
314	1278	39321
315	1282	39288
316	1285	39256
317	1288	39216
